Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
sloat-storage-battery,,,,,,,,,500gb,,Lavender,,,abccd-20,0.0,shopify,0,deny,manual,65.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-b.jpg?v=1703747020,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-b.jpg?v=1703747020,lb,,199.00,,,,,,,
sloat-storage-battery,,,,,,,,,1tb,,Silver,,,abccd-21,0.0,shopify,0,deny,manual,59.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-c.jpg?v=1703747020,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11.jpg?v=1703747020,lb,,199.00,,,,,,,
sloat-storage-battery,,,,,,,,,1tb,,LightSlateGray,,,abccd-22,0.0,shopify,0,deny,manual,64.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-d.jpg?v=1703747020,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-c.jpg?v=1703747020,lb,,199.00,,,,,,,
sloat-storage-battery,,,,,,,,,1tb,,Lavender,,,abccd-23,0.0,shopify,0,deny,manual,49.00,79.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-b.jpg?v=1703747020,lb,,199.00,,,,,,,
sloat-storage-battery,,,,,,,,,2tb,,Silver,,,abccd-24,0.0,shopify,0,deny,manual,75.00,79.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11.jpg?v=1703747020,lb,,199.00,,,,,,,
sloat-storage-battery,,,,,,,,,2tb,,LightSlateGray,,,abccd-25,0.0,shopify,0,deny,manual,69.00,79.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-c.jpg?v=1703747020,lb,,199.00,,,,,,,
sloat-storage-battery,,,,,,,,,2tb,,Lavender,,,abccd-26,0.0,shopify,0,deny,manual,65.00,79.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-b.jpg?v=1703747020,lb,,199.00,,,,,,,
bike-mono-gps,Bike mono gps,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"car-charger, lightslategray, salmon, silver",true,Color,LightSlateGray,,,,,abccd-19,0.0,shopify,32,deny,manual,31.00,39.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10.jpg?v=1703746793,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10.jpg?v=1703746793,lb,,310.00,true,,,true,,,active
bike-mono-gps,,,,,,,,,Silver,,,,,abccd-20,0.0,shopify,55,deny,manual,34.00,39.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10-a.jpg?v=1703746793,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10-c.jpg?v=1703746793,lb,,310.00,,,,,,,
bike-mono-gps,,,,,,,,,Salmon,,,,,abccd-21,0.0,shopify,22,deny,manual,36.00,39.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10-b.jpg?v=1703746793,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10-b.jpg?v=1703746793,lb,,310.00,,,,,,,
bike-mono-gps,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10-c.jpg?v=1703746793,4,,,,,,,,,,,,,,,,,,,,,,,,,,
bike-mono-gps,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-10-d.jpg?v=1703746793,5,,,,,,,,,,,,,,,,,,,,,,,,,,
glass-mirror-sv,Glass mirror SV,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"bluetooth, electirc, salmon, seashell, silver, speaker",true,Color,Salmon,,,,,abccd-16,0.0,shopify,89,deny,manual,61.00,,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09.jpg?v=1703746483,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09.jpg?v=1703746483,lb,,599.00,true,,,true,,,active
glass-mirror-sv,,,,,,,,,SeaShell,,,,,abccd-18,0.0,shopify,32,deny,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09-a.jpg?v=1703746484,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09-c.jpg?v=1703746484,lb,,599.00,,,,,,,
glass-mirror-sv,,,,,,,,,Silver,,,,,abccd-19,0.0,shopify,96,deny,manual,65.00,,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09-b.jpg?v=1703746484,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09-b.jpg?v=1703746484,lb,,599.00,,,,,,,
glass-mirror-sv,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09-c.jpg?v=1703746484,4,,,,,,,,,,,,,,,,,,,,,,,,,,
glass-mirror-sv,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-09-d.jpg?v=1703746484,5,,,,,,,,,,,,,,,,,,,,,,,,,,
motor-controller,Motor controller,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"1tb, 2tb, 500gb, electirc, lavender, lightslategray, notebook-horizon, silver",true,Size,500gb,Color,Silver,,,abccd-18,0.0,shopify,70,deny,manual,52.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08.jpg?v=1703745295,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08.jpg?v=1703745295,lb,,199.00,true,,,true,,,active
motor-controller,,,,,,,,,500gb,,LightSlateGray,,,abccd-19,0.0,shopify,0,deny,manual,54.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-a.jpg?v=1703745295,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-c.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,500gb,,Lavender,,,abccd-20,0.0,shopify,0,deny,manual,65.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-b.jpg?v=1703745295,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-b.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,1tb,,Silver,,,abccd-21,0.0,shopify,0,deny,manual,59.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-c.jpg?v=1703745295,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,1tb,,LightSlateGray,,,abccd-22,0.0,shopify,0,deny,manual,64.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-d.jpg?v=1703745295,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-c.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,1tb,,Lavender,,,abccd-23,0.0,shopify,0,deny,manual,49.00,79.00,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-b.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,2tb,,Silver,,,abccd-24,0.0,shopify,0,deny,manual,75.00,79.00,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,2tb,,LightSlateGray,,,abccd-25,0.0,shopify,0,deny,manual,69.00,79.00,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-c.jpg?v=1703745295,lb,,199.00,,,,,,,
motor-controller,,,,,,,,,2tb,,Lavender,,,abccd-26,0.0,shopify,0,deny,manual,65.00,79.00,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-08-b.jpg?v=1703745295,lb,,199.00,,,,,,,
gear-dc-motor,Gear DC motor,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"electirc, hand-mixer, lavender, oldlace, seashell",true,Color,OldLace,,,,,abccd-18,0.0,shopify,90,deny,manual,25.00,45.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07.jpg?v=1703744868,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07.jpg?v=1703744868,lb,,399.00,true,,,true,,,active
gear-dc-motor,,,,,,,,,Lavender,,,,,abccd-19,0.0,shopify,52,deny,manual,35.00,45.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07-a.jpg?v=1703744868,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07-c.jpg?v=1703744868,lb,,399.00,,,,,,,
gear-dc-motor,,,,,,,,,SeaShell,,,,,abccd-20,0.0,shopify,23,deny,manual,41.00,45.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07-b.jpg?v=1703744868,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07-b.jpg?v=1703744868,lb,,399.00,,,,,,,
gear-dc-motor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07-c.jpg?v=1703744868,4,,,,,,,,,,,,,,,,,,,,,,,,,,
gear-dc-motor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-07-d.jpg?v=1703744868,5,,,,,,,,,,,,,,,,,,,,,,,,,,
exide-ev-battery,Exide ev battery,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"car-charger, lightslategray, salmon, silver",true,Color,LightSlateGray,,,,,abccd-19,0.0,shopify,32,deny,manual,31.00,39.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06.jpg?v=1703744413,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06.jpg?v=1703744413,lb,,310.00,true,,,true,,,active
exide-ev-battery,,,,,,,,,Silver,,,,,abccd-20,0.0,shopify,55,deny,manual,34.00,39.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06-a.jpg?v=1703744413,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06-c.jpg?v=1703744414,lb,,310.00,,,,,,,
exide-ev-battery,,,,,,,,,Salmon,,,,,abccd-21,0.0,shopify,22,deny,manual,36.00,39.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06-b.jpg?v=1703744414,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06-b.jpg?v=1703744414,lb,,310.00,,,,,,,
exide-ev-battery,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06-c.jpg?v=1703744414,4,,,,,,,,,,,,,,,,,,,,,,,,,,
exide-ev-battery,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-06-d.jpg?v=1703744414,5,,,,,,,,,,,,,,,,,,,,,,,,,,
race-bike-meter,Race bike meter,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"electirc, game-controller, indianred, lightslategray, silver",true,Color,Silver,,,,,abccd-18,0.0,shopify,31,deny,manual,61.00,69.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05.jpg?v=1703743513,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-a.jpg?v=1703743513,lb,,599.00,true,,,true,,,active
race-bike-meter,,,,,,,,,LightSlateGray,,,,,abccd-19,0.0,shopify,42,deny,manual,65.00,69.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-a.jpg?v=1703743513,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-c.jpg?v=1703743514,lb,,599.00,,,,,,,
race-bike-meter,,,,,,,,,IndianRed,,,,,abccd-20,0.0,shopify,55,deny,manual,67.00,69.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-b.jpg?v=1703743513,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-b.jpg?v=1703743513,lb,,599.00,,,,,,,
race-bike-meter,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-c.jpg?v=1703743514,4,,,,,,,,,,,,,,,,,,,,,,,,,,
race-bike-meter,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-05-d.jpg?v=1703743514,5,,,,,,,,,,,,,,,,,,,,,,,,,,
clutch-and-brake,Clutch and brake,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"electirc, hard-drive, lightskyblue, lightslategray, silver",true,Color,LightSkyBlue,,,,,abccd-18,0.0,shopify,78,deny,manual,11.00,19.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04.jpg?v=1703743100,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04.jpg?v=1703743100,lb,,349.00,true,,,true,,,active
